swhid,file_id,length,local_path,filename,filepath
swh:1:cnt:0003a0650ad0c064e67819fd6aaf10927561b4d0,5a36f2447db5e3ba53c85d1ad7dae5954edccf0e,124370,5a,bt_hci_firmware_image.c,20702B0/bt_hci_firmware_image.c
swh:1:cnt:0003a0702d6b493d5e49961694938bb3addb57bc,0688cda7f8da9a94e0ae283cf56896f92d4b3a06,11063,06,objects-visiting.cc,heap/objects-visiting.cc
swh:1:cnt:0003a0820b9c512cbdb24048795aee5b01118eeb,afe5d4d4c9d9662191feab29839a5830662c8706,2652,af,Common.h,Classes/Common.h
swh:1:cnt:0003a08279ad84be1456f2f042a022a6af932cf3,0a8cf2e0077f0ec90b22ae3843d97ab9d52f3740,6322,0a,qdecimal.cpp,data/qdecimal.cpp
swh:1:cnt:0003a0a7e15fe898dc0b6de55fded48cb8fd1c0d,097d79fa076bb99ad905229fe0f878d4c92087e2,16621,09,playerhandler.cpp,ea/playerhandler.cpp
swh:1:cnt:0003a0b4a3e1f998ecf675fedbe7b65d3090ac54,72eb38044415aeef27d58d547397824575f718dd,297,72,mmruthread.h,mini/mmruthread.h
swh:1:cnt:0003a0e88b6e7092430047b641de19d794040538,ca27ff23b8c4868b63887dac7dff89b3b9350aeb,15759,ca,net_rx_pkt.c,net/net_rx_pkt.c
swh:1:cnt:0003a101df22ed52a27a8a274b289bfe9e2e2d8e,9171efa1a5e309c87842f13fd3c7a9ed2fa58c27,26760,91,mainwindow.cpp,src/mainwindow.cpp
swh:1:cnt:0003a1034ecb47c643a409217aa222b9fc01a669,6e58d436b49aa1f92371757a19f677ac6e6f944c,2057,6e,test_hex_3x3x3_par_read_4P.cc,test/test_hex_3x3x3_par_read_4P.cc
swh:1:cnt:0003a10b0f232222c350159a4e90746a2b048d31,5db2b5f4685849236bb4955bc4dfa271b1bbbb05,1773,5d,RPSBlastSupportTask.h,blast_plus/RPSBlastSupportTask.h
swh:1:cnt:0003a14b7dd1c9a0b6d9a42ff033d63e8e631478,d92063332d8c9d5b268b8e4472de7940de818bfd,126,d9,9-6.c,programming_class/9-6.c
swh:1:cnt:0003a1936bf5af66d639681f27ba1caea45471b1,16df6e83ccefdcf929d3de94f60de7543bd48e35,8654,16,svc.c,lockd/svc.c
swh:1:cnt:0003a1aff10bece1aa634c1c238acd8acf0b0d19,1c142c7b202dcf3eb65ff180fbf6d9eec5000aa8,1004,1c,Action.c,Action.c
swh:1:cnt:0003a1b9345fbb77678bae616707a622a1489653,6fae841eaad93d32e7074f540ac829c3ffcaba74,58979,6f,embedvar.h,embedvar.h
swh:1:cnt:0003a1be69b3d4340b68832a11a0d48039c1d360,bd13a690dfb747b3e920f942b5ad6f87a3c4cd63,919,bd,smm_dnn_20_7_3.c,gemms/smm_dnn_20_7_3.c
swh:1:cnt:0003a1f72bfe61b4f8eb2b2ad2839a5a424c84e5,f462d17dfef982adc5abac4d779182854619e0da,487,f4,vreinterpretQs64_p16.c,neon/vreinterpretQs64_p16.c
